cif_file,normal_atoms,normal_formula,norm_duplicate,min_atoms,min_formula,min_duplicate
UDUPIW.cif,101,C48 H36 Mg1 O16,yes,88,C45 H32 Mg1 O10,yes
ORUKET.cif,381,C168 H116 Mg1 N12 O72 P12,no,141,C63 H44 Mg1 N3 O27 P3,no
UDUSAR.cif,199,C96 H68 Mg3 O32,no,170,C89 H60 Mg3 O18,no
TIXVON.cif,178,C84 H62 Mg2 O30,no,109,C49 H38 Mg2 O20,no
TAGVAB.cif,75,C32 H26 Mg1 O16,no,64,C29 H24 Mg1 O10,no
WEHNAA.cif,355,C72 H174 Mg1 N12 O72 P24,no,84,C12 H43 Mg1 N2 O17 P9,no
WAMRIN.cif,84,C32 H30 Mg1 N4 O17,no,73,C29 H28 Mg1 N4 O11,no
REJVOS.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
WUHJIT.cif,93,C42 H32 Mg1 O18,yes,67,C32 H24 Mg1 O10,no
UDURUK.cif,211,C96 H76 Mg3 O36,no,182,C89 H68 Mg3 O22,no
OBIBAF.cif,324,C140 H136 Mg4 O44,no,114,C49 H44 Mg2 O19,no
VALXOY.cif,232,C96 H72 Mg3 N12 O49,no,117,C51 H37 Mg3 N7 O19,no
XEHRUY.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSAF.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XESKAJ.cif,195,C36 H96 Mg3 N12 O36 P12,no,147,C31 H81 Mg3 N12 O13 P7,no
XEQLEM.cif,91,C36 H36 Mg1 N6 O12,no,83,C34 H34 Mg1 N6 O8,no
XEHSEJ.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSIN.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSOT.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XESKEN.cif,195,C36 H96 Mg3 N12 O36 P12,yes,147,C31 H81 Mg3 N12 O13 P7,yes
XEHSUZ.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XUFYAA.cif,201,C108 H68 Mg1 O24,no,93,C48 H32 Mg1 O12,no
